K,value
312,9.4092
312,8.8437
312,8.3467
312,9.3740
312,8.9760
312,9.2183
312,8.7801
312,8.4180
312,8.6848
312,8.6460
312,9.3508
312,8.4435
312,8.4836
312,8.7068
312,8.3716
312,8.5797
312,9.4128
312,8.7879
312,8.4935
312,8.5471
312,8.7092
312,8.7082
312,9.1600
312,9.4387
312,9.2068
312,9.5476
312,9.2687
312,9.6063
312,9.3527
312,9.1847
312,9.0212
312,9.3537
312,8.6020
312,8.6545
312,8.7461
312,9.2716
312,8.5151
336,7.3165
336,6.2675
336,9.9471
336,8.8296
336,8.9167
336,8.1798
336,8.6050
336,8.6502
336,7.6267
336,8.7678
336,7.9829
336,8.0792
336,8.0743
336,8.4724
336,9.4156
336,8.8397
336,8.3583
336,9.3736
336,8.9728
336,9.2163
336,8.7770
336,8.4205
336,8.6847
336,8.6439
336,9.3555
336,8.4511
336,8.4809
336,8.7154
336,8.3784
336,8.5855
336,9.4144
336,8.7893
336,8.4966
336,8.5470
336,8.7097
336,8.7072
336,9.1603
336,9.4378
336,9.2072
336,9.5464
336,9.2735
336,9.6075
336,9.3560
336,9.1854
336,9.0210
336,9.3529
336,8.6045
336,8.6584
336,8.7518
336,9.2750
336,8.5171
360,7.2996
360,6.2392
360,9.9402
360,8.8343
360,8.9135
360,8.1651
360,8.5877
360,8.6323
360,7.6167
360,8.7693
360,7.9694
360,8.0763
360,8.0652
360,8.4633
360,9.4047
360,8.8386
360,8.3549
360,9.3674
360,8.9735
360,9.2210
360,8.7783
360,8.4147
360,8.6812
360,8.6434
360,9.3492
360,8.4381
360,8.4816
360,8.7048
360,8.3716
360,8.5802
360,9.4157
360,8.7834
360,8.4903
360,8.5407
360,8.7064
360,8.7060
360,9.1560
360,9.4358
360,9.2050
360,9.5439
360,9.2667
360,9.6073
360,9.3503
360,9.1818
360,9.0151
360,9.3532
360,8.5979
360,8.6515
360,8.7426
360,9.2757
360,8.5163
384,7.2806
384,6.2403
384,9.9392
384,8.8246
384,8.9163
384,8.1484
384,8.5802
384,8.6295
384,7.6359
384,8.7760
384,7.9900
384,8.0774
384,8.0770
384,8.4797
384,9.4101
384,8.8443
384,8.3562
384,9.3719
384,8.9756
384,9.2259
384,8.7825
384,8.4211
384,8.6910
384,8.6495
384,9.3574
384,8.4483
384,8.4841
384,8.7166
384,8.3797
384,8.5857
384,9.4149
384,8.7916
384,8.4954
384,8.5471
384,8.7154
384,8.7119
384,9.1621
384,9.4404
384,9.2083
384,9.5451
384,9.2769
384,9.6070
384,9.3542
384,9.1885
384,9.0221
384,9.3557
384,8.6017
384,8.6585
384,8.7508
384,9.2763
384,8.5167
