image,volume,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
2.2.07,aerials,96,1048576,8.4949,8.4957,Inf
2.2.08,aerials,96,1048576,8.5440,8.5499,Inf
2.2.09,aerials,96,1048576,8.7128,8.7125,Inf
2.2.10,aerials,96,1048576,8.7123,8.7118,Inf
2.2.11,aerials,96,1048576,9.1598,9.1607,Inf
2.2.12,aerials,96,1048576,9.4419,9.4439,Inf
2.2.13,aerials,96,1048576,9.2084,9.2091,Inf
2.2.14,aerials,96,1048576,9.5450,9.5497,Inf
2.2.15,aerials,96,1048576,9.2728,9.2746,Inf
2.2.16,aerials,96,1048576,9.6081,9.6095,Inf
2.2.17,aerials,96,1048576,9.3533,9.3552,Inf
2.2.18,aerials,96,1048576,9.1859,9.1879,Inf
2.2.19,aerials,96,1048576,9.0225,9.0237,Inf
2.2.20,aerials,96,1048576,9.3531,9.3539,Inf
2.2.21,aerials,96,1048576,8.6014,8.6077,Inf
2.2.22,aerials,96,1048576,8.6534,8.6605,Inf
2.2.23,aerials,96,1048576,8.7484,8.7527,Inf
2.2.24,aerials,96,1048576,9.2756,9.2773,Inf
wash-ir,aerials,96,5062500,8.5169,8.5171,Inf
4.1.01,misc,120,65536,7.2765,7.2878,Inf
4.1.02,misc,120,65536,6.2377,6.2448,Inf
4.1.03,misc,120,65536,9.9472,9.9483,Inf
4.1.04,misc,120,65536,8.8371,8.8318,Inf
4.1.05,misc,120,65536,8.8776,8.9101,Inf
4.1.06,misc,120,65536,8.1507,8.1586,Inf
4.1.07,misc,120,65536,8.5981,8.5804,Inf
4.1.08,misc,120,65536,8.6499,8.6402,Inf
4.2.01,misc,120,262144,7.6344,7.6299,Inf
4.2.03,misc,120,262144,8.7870,8.7760,Inf
4.2.05,misc,120,262144,7.9805,7.9770,Inf
4.2.06,misc,120,262144,8.0872,8.0841,Inf
4.2.07,misc,120,262144,8.0782,8.0734,Inf
house,misc,120,262144,8.4842,8.4742,Inf
2.1.01,aerials,120,262144,9.4144,9.4170,Inf
2.1.02,aerials,120,262144,8.8431,8.8485,Inf
2.1.03,aerials,120,262144,8.3529,8.3632,Inf
2.1.04,aerials,120,262144,9.3830,9.3849,Inf
2.1.05,aerials,120,262144,8.9817,8.9737,Inf
2.1.06,aerials,120,262144,9.2250,9.2235,Inf
2.1.07,aerials,120,262144,8.7791,8.7760,Inf
2.1.08,aerials,120,262144,8.4258,8.4076,Inf
2.1.09,aerials,120,262144,8.6895,8.6835,Inf
2.1.10,aerials,120,262144,8.6543,8.6457,Inf
2.1.11,aerials,120,262144,9.3626,9.3607,Inf
2.1.12,aerials,120,262144,8.4457,8.4407,Inf
2.2.01,aerials,120,1048576,8.4831,8.4835,Inf
2.2.02,aerials,120,1048576,8.7143,8.7066,Inf
2.2.03,aerials,120,1048576,8.3729,8.3685,Inf
2.2.04,aerials,120,1048576,8.5890,8.5785,Inf
2.2.05,aerials,120,1048576,9.4145,9.4139,Inf
2.2.06,aerials,120,1048576,8.7913,8.7837,Inf
2.2.07,aerials,120,1048576,8.4941,8.4868,Inf
2.2.08,aerials,120,1048576,8.5463,8.5465,Inf
2.2.09,aerials,120,1048576,8.7126,8.7050,Inf
2.2.10,aerials,120,1048576,8.7115,8.7051,Inf
2.2.11,aerials,120,1048576,9.1568,9.1582,Inf
2.2.12,aerials,120,1048576,9.4372,9.4358,Inf
2.2.13,aerials,120,1048576,9.2089,9.2084,Inf
2.2.14,aerials,120,1048576,9.5445,9.5411,Inf
2.2.15,aerials,120,1048576,9.2695,9.2669,Inf
2.2.16,aerials,120,1048576,9.6078,9.6065,Inf
2.2.17,aerials,120,1048576,9.3568,9.3526,Inf
2.2.18,aerials,120,1048576,9.1842,9.1822,Inf
2.2.19,aerials,120,1048576,9.0201,9.0148,Inf
2.2.20,aerials,120,1048576,9.3541,9.3502,Inf
2.2.21,aerials,120,1048576,8.6028,8.5951,Inf
2.2.22,aerials,120,1048576,8.6603,8.6526,Inf
2.2.23,aerials,120,1048576,8.7514,8.7440,Inf
2.2.24,aerials,120,1048576,9.2752,9.2747,Inf
wash-ir,aerials,120,5062500,8.5194,8.5160,Inf
4.1.01,misc,144,65536,7.2889,7.2603,Inf
4.1.02,misc,144,65536,6.2367,6.2426,Inf
4.1.03,misc,144,65536,9.9458,9.9515,Inf
4.1.04,misc,144,65536,8.8331,8.8260,Inf
4.1.05,misc,144,65536,8.8958,8.8865,Inf
4.1.06,misc,144,65536,8.1610,8.1464,Inf
4.1.07,misc,144,65536,8.5720,8.5649,Inf
4.1.08,misc,144,65536,8.6318,8.6244,Inf
4.2.01,misc,144,262144,7.6231,7.6269,Inf
4.2.03,misc,144,262144,8.7799,8.7650,Inf
4.2.05,misc,144,262144,7.9896,7.9704,Inf
4.2.06,misc,144,262144,8.0845,8.0701,Inf
4.2.07,misc,144,262144,8.0815,8.0662,Inf
house,misc,144,262144,8.4728,8.4663,Inf
2.1.01,aerials,144,262144,9.4138,9.4157,Inf
2.1.02,aerials,144,262144,8.8439,8.8436,Inf
2.1.03,aerials,144,262144,8.3580,8.3598,Inf
2.1.04,aerials,144,262144,9.3764,9.3678,Inf
2.1.05,aerials,144,262144,8.9717,8.9679,Inf
2.1.06,aerials,144,262144,9.2249,9.2199,Inf
2.1.07,aerials,144,262144,8.7916,8.7672,Inf
2.1.08,aerials,144,262144,8.4294,8.4110,Inf
2.1.09,aerials,144,262144,8.6935,8.6778,Inf
2.1.10,aerials,144,262144,8.6453,8.6372,Inf
2.1.11,aerials,144,262144,9.3530,9.3499,Inf
2.1.12,aerials,144,262144,8.4497,8.4356,Inf
2.2.01,aerials,144,1048576,8.4849,8.4853,Inf
2.2.02,aerials,144,1048576,8.7125,8.7068,Inf
2.2.03,aerials,144,1048576,8.3777,8.3717,Inf
2.2.04,aerials,144,1048576,8.5784,8.5801,Inf
2.2.05,aerials,144,1048576,9.4132,9.4119,Inf
2.2.06,aerials,144,1048576,8.7899,8.7874,Inf
2.2.07,aerials,144,1048576,8.4944,8.4904,Inf
2.2.08,aerials,144,1048576,8.5462,8.5453,Inf
2.2.09,aerials,144,1048576,8.7081,8.7072,Inf
2.2.10,aerials,144,1048576,8.7076,8.7072,Inf
2.2.11,aerials,144,1048576,9.1562,9.1584,Inf
2.2.12,aerials,144,1048576,9.4372,9.4357,Inf
2.2.13,aerials,144,1048576,9.2087,9.2023,Inf
2.2.14,aerials,144,1048576,9.5482,9.5452,Inf
2.2.15,aerials,144,1048576,9.2740,9.2692,Inf
2.2.16,aerials,144,1048576,9.6112,9.6033,Inf
2.2.17,aerials,144,1048576,9.3552,9.3493,Inf
2.2.18,aerials,144,1048576,9.1797,9.1799,Inf
2.2.19,aerials,144,1048576,9.0186,9.0169,Inf
2.2.20,aerials,144,1048576,9.3562,9.3507,Inf
2.2.21,aerials,144,1048576,8.6023,8.6011,Inf
2.2.22,aerials,144,1048576,8.6584,8.6549,Inf
2.2.23,aerials,144,1048576,8.7473,8.7469,Inf
2.2.24,aerials,144,1048576,9.2699,9.2750,Inf
wash-ir,aerials,144,5062500,8.5155,8.5181,Inf
4.1.01,misc,168,65536,7.2885,7.2851,Inf
4.1.02,misc,168,65536,6.2364,6.2452,Inf
4.1.03,misc,168,65536,9.9472,9.9385,Inf
4.1.04,misc,168,65536,8.8409,8.8231,Inf
4.1.05,misc,168,65536,8.9017,8.8988,Inf
4.1.06,misc,168,65536,8.1583,8.1527,Inf
4.1.07,misc,168,65536,8.5824,8.5857,Inf
4.1.08,misc,168,65536,8.6346,8.6347,Inf
4.2.01,misc,168,262144,7.6263,7.6264,Inf
4.2.03,misc,168,262144,8.7781,8.7709,Inf
4.2.05,misc,168,262144,7.9655,7.9758,Inf
4.2.06,misc,168,262144,8.0711,8.0815,Inf
4.2.07,misc,168,262144,8.0716,8.0705,Inf
house,misc,168,262144,8.4655,8.4692,Inf
2.1.01,aerials,168,262144,9.4086,9.4135,Inf
2.1.02,aerials,168,262144,8.8487,8.8368,Inf
2.1.03,aerials,168,262144,8.3542,8.3477,Inf
2.1.04,aerials,168,262144,9.3630,9.3685,Inf
2.1.05,aerials,168,262144,8.9723,8.9692,Inf
2.1.06,aerials,168,262144,9.2323,9.2238,Inf
2.1.07,aerials,168,262144,8.7772,8.7803,Inf
2.1.08,aerials,168,262144,8.4240,8.4201,Inf
2.1.09,aerials,168,262144,8.6942,8.6902,Inf
2.1.10,aerials,168,262144,8.6333,8.6484,Inf
2.1.11,aerials,168,262144,9.3658,9.3542,Inf
2.1.12,aerials,168,262144,8.4546,8.4499,Inf
2.2.01,aerials,168,1048576,8.4828,8.4842,Inf
2.2.02,aerials,168,1048576,8.7117,8.7132,Inf
2.2.03,aerials,168,1048576,8.3747,8.3778,Inf
2.2.04,aerials,168,1048576,8.5824,8.5863,Inf
2.2.05,aerials,168,1048576,9.4112,9.4133,Inf
2.2.06,aerials,168,1048576,8.7909,8.7892,Inf
2.2.07,aerials,168,1048576,8.4905,8.4953,Inf
2.2.08,aerials,168,1048576,8.5450,8.5424,Inf
2.2.09,aerials,168,1048576,8.7099,8.7090,Inf
2.2.10,aerials,168,1048576,8.7111,8.7115,Inf
2.2.11,aerials,168,1048576,9.1593,9.1616,Inf
2.2.12,aerials,168,1048576,9.4437,9.4369,Inf
2.2.13,aerials,168,1048576,9.2082,9.2040,Inf
2.2.14,aerials,168,1048576,9.5486,9.5485,Inf
2.2.15,aerials,168,1048576,9.2731,9.2709,Inf
2.2.16,aerials,168,1048576,9.6043,9.6053,Inf
2.2.17,aerials,168,1048576,9.3553,9.3518,Inf
2.2.18,aerials,168,1048576,9.1866,9.1860,Inf
2.2.19,aerials,168,1048576,9.0239,9.0198,Inf
2.2.20,aerials,168,1048576,9.3551,9.3513,Inf
2.2.21,aerials,168,1048576,8.5966,8.6022,Inf
2.2.22,aerials,168,1048576,8.6577,8.6566,Inf
2.2.23,aerials,168,1048576,8.7432,8.7469,Inf
2.2.24,aerials,168,1048576,9.2794,9.2730,Inf
wash-ir,aerials,168,5062500,8.5167,8.5162,Inf
4.1.01,misc,192,65536,7.2961,7.2854,Inf
4.1.02,misc,192,65536,6.2497,6.2429,Inf
4.1.03,misc,192,65536,9.9321,9.9547,Inf
4.1.04,misc,192,65536,8.8191,8.8304,Inf
4.1.05,misc,192,65536,8.9191,8.9108,Inf
4.1.06,misc,192,65536,8.1720,8.1647,Inf
