image,volume,K,num_pixels,mean_chi2_plain,mean_chi2_cipher,chi2_critical_005,cipher_uniform_pass
2.1.07,aerials,120,262144,1506062.4518,266.2272,293.2465,1
2.1.08,aerials,120,262144,1304657.1211,245.2565,293.2465,1
2.1.09,aerials,120,262144,1534474.9251,256.6654,293.2465,1
2.1.10,aerials,120,262144,842741.8743,255.8216,293.2465,1
2.1.11,aerials,120,262144,382965.7695,250.2884,293.2465,1
2.1.12,aerials,120,262144,1041168.6172,271.6354,293.2465,1
2.2.01,aerials,120,1048576,1606924.9424,261.3563,293.2465,1
2.2.02,aerials,120,1048576,7994223.7020,255.5975,293.2465,1
2.2.03,aerials,120,1048576,6187844.7371,236.5050,293.2465,1
2.2.04,aerials,120,1048576,3690644.5820,248.8771,293.2465,1
2.2.05,aerials,120,1048576,1298775.5493,274.8688,293.2465,1
2.2.06,aerials,120,1048576,7396619.0374,263.4611,293.2465,1
2.2.07,aerials,120,1048576,4860051.3880,238.6203,293.2465,1
2.2.08,aerials,120,1048576,1082751.9800,274.6051,293.2465,1
2.2.09,aerials,120,1048576,6732990.8791,270.5072,293.2465,1
2.2.10,aerials,120,1048576,7587851.9578,245.5843,293.2465,1
2.2.11,aerials,120,1048576,4219744.8717,262.5897,293.2465,1
2.2.12,aerials,120,1048576,4033947.6772,244.8022,293.2465,1
2.2.13,aerials,120,1048576,2556570.1512,261.7028,293.2465,1
2.2.14,aerials,120,1048576,2863126.6483,236.0028,293.2465,1
2.2.15,aerials,120,1048576,5841825.9139,250.6522,293.2465,1
2.2.16,aerials,120,1048576,3088125.5768,232.5739,293.2465,1
2.2.17,aerials,120,1048576,2111634.7624,277.6943,293.2465,1
2.2.18,aerials,120,1048576,3315796.2762,260.7437,293.2465,1
2.2.19,aerials,120,1048576,4653792.5623,246.3265,293.2465,1
2.2.20,aerials,120,1048576,3223388.8162,283.9087,293.2465,1
2.2.21,aerials,120,1048576,3338600.8636,234.6024,293.2465,1
2.2.22,aerials,120,1048576,6022088.4924,264.5327,293.2465,1
2.2.23,aerials,120,1048576,11172208.3312,251.8828,293.2465,1
2.2.24,aerials,120,1048576,2781243.8275,256.4023,293.2465,1
wash-ir,aerials,120,5062500,5355559.2556,243.3571,293.2465,1
4.1.01,misc,144,65536,161648.1927,247.7917,293.2465,1
4.1.02,misc,144,65536,279285.9792,268.7995,293.2465,1
4.1.03,misc,144,65536,757390.6979,230.5755,293.2465,1
4.1.04,misc,144,65536,81482.5964,252.8750,293.2465,1
4.1.05,misc,144,65536,317258.1536,257.6484,293.2465,1
4.1.06,misc,144,65536,89401.5182,281.2943,293.2465,1
4.1.07,misc,144,65536,486579.0911,271.2526,293.2465,1
4.1.08,misc,144,65536,338837.9115,281.1693,293.2465,1
4.2.01,misc,144,262144,951959.3021,258.7467,293.2465,1
4.2.03,misc,144,262144,101863.4616,259.7715,293.2465,1
4.2.05,misc,144,262144,822925.9603,250.0931,293.2465,1
4.2.06,misc,144,262144,223807.8535,259.6426,293.2465,1
4.2.07,misc,144,262144,340999.4414,256.9974,293.2465,1
house,misc,144,262144,257525.5384,251.8359,293.2465,1
2.1.01,aerials,144,262144,305263.2174,261.5749,293.2465,1
2.1.02,aerials,144,262144,285237.8646,246.8210,293.2465,1
2.1.03,aerials,144,262144,2147568.3815,265.2917,293.2465,1
2.1.04,aerials,144,262144,878469.8587,238.1237,293.2465,1
2.1.05,aerials,144,262144,265542.1608,239.1641,293.2465,1
2.1.06,aerials,144,262144,181814.6641,256.9004,293.2465,1
2.1.07,aerials,144,262144,1506062.4518,231.3704,293.2465,1
2.1.08,aerials,144,262144,1304657.1211,285.2806,293.2465,1
2.1.09,aerials,144,262144,1534474.9251,268.2858,293.2465,1
2.1.10,aerials,144,262144,842741.8743,247.6517,293.2465,1
2.1.11,aerials,144,262144,382965.7695,256.4759,293.2465,1
2.1.12,aerials,144,262144,1041168.6172,239.2904,293.2465,1
2.2.01,aerials,144,1048576,1606924.9424,267.2769,293.2465,1
2.2.02,aerials,144,1048576,7994223.7020,241.7303,293.2465,1
2.2.03,aerials,144,1048576,6187844.7371,235.4538,293.2465,1
2.2.04,aerials,144,1048576,3690644.5820,245.5599,293.2465,1
2.2.05,aerials,144,1048576,1298775.5493,251.5861,293.2465,1
2.2.06,aerials,144,1048576,7396619.0374,249.1746,293.2465,1
2.2.07,aerials,144,1048576,4860051.3880,255.7171,293.2465,1
2.2.08,aerials,144,1048576,1082751.9800,243.2852,293.2465,1
2.2.09,aerials,144,1048576,6732990.8791,259.1507,293.2465,1
2.2.10,aerials,144,1048576,7587851.9578,276.8924,293.2465,1
2.2.11,aerials,144,1048576,4219744.8717,229.4440,293.2465,1
2.2.12,aerials,144,1048576,4033947.6772,238.7710,293.2465,1
2.2.13,aerials,144,1048576,2556570.1512,245.5996,293.2465,1
2.2.14,aerials,144,1048576,2863126.6483,243.6437,293.2465,1
2.2.15,aerials,144,1048576,5841825.9139,269.4733,293.2465,1
2.2.16,aerials,144,1048576,3088125.5768,232.1945,293.2465,1
2.2.17,aerials,144,1048576,2111634.7624,246.0140,293.2465,1
2.2.18,aerials,144,1048576,3315796.2762,252.0299,293.2465,1
2.2.19,aerials,144,1048576,4653792.5623,264.1188,293.2465,1
2.2.20,aerials,144,1048576,3223388.8162,262.2803,293.2465,1
2.2.21,aerials,144,1048576,3338600.8636,247.1475,293.2465,1
2.2.22,aerials,144,1048576,6022088.4924,243.1255,293.2465,1
2.2.23,aerials,144,1048576,11172208.3312,258.6777,293.2465,1
2.2.24,aerials,144,1048576,2781243.8275,234.7962,293.2465,1
wash-ir,aerials,144,5062500,5355559.2556,249.4761,293.2465,1
4.1.01,misc,168,65536,161648.1927,270.7630,293.2465,1
4.1.02,misc,168,65536,279285.9792,251.5755,293.2465,1
4.1.03,misc,168,65536,757390.6979,257.8516,293.2465,1
4.1.04,misc,168,65536,81482.5964,246.5339,293.2465,1
4.1.05,misc,168,65536,317258.1536,266.9297,293.2465,1
4.1.06,misc,168,65536,89401.5182,253.4583,293.2465,1
4.1.07,misc,168,65536,486579.0911,252.7786,293.2465,1
4.1.08,misc,168,65536,338837.9115,238.6979,293.2465,1
4.2.01,misc,168,262144,951959.3021,282.0404,293.2465,1
4.2.03,misc,168,262144,101863.4616,264.1387,293.2465,1
4.2.05,misc,168,262144,822925.9603,254.0299,293.2465,1
4.2.06,misc,168,262144,223807.8535,240.8210,293.2465,1
4.2.07,misc,168,262144,340999.4414,255.8457,293.2465,1
house,misc,168,262144,257525.5384,246.0957,293.2465,1
2.1.01,aerials,168,262144,305263.2174,245.3926,293.2465,1
2.1.02,aerials,168,262144,285237.8646,246.8581,293.2465,1
2.1.03,aerials,168,262144,2147568.3815,249.1042,293.2465,1
2.1.04,aerials,168,262144,878469.8587,251.8177,293.2465,1
2.1.05,aerials,168,262144,265542.1608,275.3145,293.2465,1
2.1.06,aerials,168,262144,181814.6641,269.9284,293.2465,1
2.1.07,aerials,168,262144,1506062.4518,270.9473,293.2465,1
2.1.08,aerials,168,262144,1304657.1211,254.3691,293.2465,1
2.1.09,aerials,168,262144,1534474.9251,239.1921,293.2465,1
2.1.10,aerials,168,262144,842741.8743,249.9583,293.2465,1
2.1.11,aerials,168,262144,382965.7695,234.4876,293.2465,1
2.1.12,aerials,168,262144,1041168.6172,263.5326,293.2465,1
2.2.01,aerials,168,1048576,1606924.9424,265.6139,293.2465,1
2.2.02,aerials,168,1048576,7994223.7020,232.1375,293.2465,1
2.2.03,aerials,168,1048576,6187844.7371,263.1991,293.2465,1
2.2.04,aerials,168,1048576,3690644.5820,245.5472,293.2465,1
2.2.05,aerials,168,1048576,1298775.5493,243.2059,293.2465,1
2.2.06,aerials,168,1048576,7396619.0374,276.4036,293.2465,1
2.2.07,aerials,168,1048576,4860051.3880,265.7222,293.2465,1
2.2.08,aerials,168,1048576,1082751.9800,247.2977,293.2465,1
2.2.09,aerials,168,1048576,6732990.8791,237.8332,293.2465,1
2.2.10,aerials,168,1048576,7587851.9578,250.2980,293.2465,1
2.2.11,aerials,168,1048576,4219744.8717,255.1789,293.2465,1
2.2.12,aerials,168,1048576,4033947.6772,242.9652,293.2465,1
2.2.13,aerials,168,1048576,2556570.1512,269.6839,293.2465,1
2.2.14,aerials,168,1048576,2863126.6483,254.5470,293.2465,1
2.2.15,aerials,168,1048576,5841825.9139,264.9287,293.2465,1
2.2.16,aerials,168,1048576,3088125.5768,275.5967,293.2465,1
2.2.17,aerials,168,1048576,2111634.7624,248.1904,293.2465,1
2.2.18,aerials,168,1048576,3315796.2762,263.6759,293.2465,1
2.2.19,aerials,168,1048576,4653792.5623,241.6449,293.2465,1
2.2.20,aerials,168,1048576,3223388.8162,255.3577,293.2465,1
2.2.21,aerials,168,1048576,3338600.8636,270.6812,293.2465,1
2.2.22,aerials,168,1048576,6022088.4924,253.9865,293.2465,1
2.2.23,aerials,168,1048576,11172208.3312,270.8963,293.2465,1
2.2.24,aerials,168,1048576,2781243.8275,231.2990,293.2465,1
wash-ir,aerials,168,5062500,5355559.2556,262.5297,293.2465,1
4.1.01,misc,192,65536,161648.1927,276.6510,293.2465,1
4.1.02,misc,192,65536,279285.9792,248.6771,293.2465,1
4.1.03,misc,192,65536,757390.6979,246.7266,293.2465,1
4.1.04,misc,192,65536,81482.5964,251.6406,293.2465,1
4.1.05,misc,192,65536,317258.1536,259.4844,293.2465,1
4.1.06,misc,192,65536,89401.5182,246.1667,293.2465,1
4.1.07,misc,192,65536,486579.0911,278.3958,293.2465,1
4.1.08,misc,192,65536,338837.9115,262.4479,293.2465,1
4.2.01,misc,192,262144,951959.3021,266.9036,293.2465,1
4.2.03,misc,192,262144,101863.4616,272.1849,293.2465,1
4.2.05,misc,192,262144,822925.9603,265.5938,293.2465,1
4.2.06,misc,192,262144,223807.8535,253.9388,293.2465,1
4.2.07,misc,192,262144,340999.4414,239.8880,293.2465,1
house,misc,192,262144,257525.5384,251.4805,293.2465,1
2.1.01,aerials,192,262144,305263.2174,251.4395,293.2465,1
2.1.02,aerials,192,262144,285237.8646,248.6185,293.2465,1
2.1.03,aerials,192,262144,2147568.3815,231.4336,293.2465,1
2.1.04,aerials,192,262144,878469.8587,252.4121,293.2465,1
2.1.05,aerials,192,262144,265542.1608,266.3906,293.2465,1
2.1.06,aerials,192,262144,181814.6641,249.1374,293.2465,1
2.1.07,aerials,192,262144,1506062.4518,246.2109,293.2465,1
2.1.08,aerials,192,262144,1304657.1211,234.5469,293.2465,1
2.1.09,aerials,192,262144,1534474.9251,253.6263,293.2465,1
2.1.10,aerials,192,262144,842741.8743,247.5846,293.2465,1
2.1.11,aerials,192,262144,382965.7695,275.8952,293.2465,1
2.1.12,aerials,192,262144,1041168.6172,252.0794,293.2465,1
2.2.01,aerials,192,1048576,1606924.9424,245.4424,293.2465,1
2.2.02,aerials,192,1048576,7994223.7020,246.3081,293.2465,1
2.2.03,aerials,192,1048576,6187844.7371,281.9919,293.2465,1
