K,flipped_key_bit,npcr_key_packed,uaci_key_packed,psnr_cipher_pair_db
144,107,99.995422,33.363810,7.7432
144,113,99.992371,33.374196,7.7419
144,119,99.993896,33.386348,7.7418
144,125,99.995422,33.386373,7.7500
144,132,99.996948,33.234645,7.7701
144,138,99.996948,33.464537,7.7409
144,144,99.996948,33.224058,7.7704
168,1,99.995422,33.325812,7.7385
168,8,99.995422,33.410659,7.7468
168,16,99.996948,33.396109,7.7342
168,23,99.995422,33.521680,7.7458
168,30,99.995422,33.378091,7.7502
168,37,99.990845,33.540476,7.7332
168,45,99.993896,33.566687,7.7205
168,52,99.998474,33.405916,7.7367
168,59,99.993896,33.281232,7.7683
168,66,99.998474,33.299698,7.7535
168,74,99.996948,33.290349,7.7635
168,81,99.996948,33.333540,7.7336
168,88,99.996948,33.276201,7.7597
168,95,99.998474,33.289504,7.7654
168,103,99.992371,33.410300,7.7326
168,110,99.998474,33.366556,7.7403
168,117,99.995422,33.377029,7.7351
168,124,99.998474,33.383623,7.7366
168,132,99.996948,33.294394,7.7395
168,139,99.992371,33.370421,7.7447
168,146,99.996948,33.355630,7.7471
168,153,99.996948,33.510848,7.7260
168,161,99.995422,33.383049,7.7514
168,168,99.995422,33.304017,7.7521
192,1,99.993896,33.278763,7.7447
192,9,99.995422,33.294464,7.7519
192,18,99.995422,33.324036,7.7465
192,26,99.995422,33.188107,7.7716
192,34,99.995422,33.291550,7.7587
192,43,99.990845,33.439002,7.7501
192,51,99.993896,33.416719,7.7450
192,59,99.992371,33.279686,7.7611
192,67,99.992371,33.326149,7.7581
192,76,99.996948,33.371113,7.7558
192,84,99.996948,33.298927,7.7480
192,92,99.995422,33.240853,7.7482
192,101,99.995422,33.347680,7.7355
192,109,99.996948,33.470326,7.7450
192,117,99.998474,33.328838,7.7503
192,126,99.996948,33.280309,7.7653
192,134,99.998474,33.285864,7.7588
192,142,99.996948,33.332801,7.7323
192,150,99.995422,33.242288,7.7563
192,159,99.992371,33.364093,7.7546
192,167,99.992371,33.328661,7.7646
192,175,99.993896,33.277090,7.7599
192,184,99.995422,33.232723,7.7578
192,192,99.995422,33.277264,7.7463
216,1,99.993896,33.198430,7.7699
216,10,99.993896,33.312506,7.7630
216,20,99.995422,33.268273,7.7658
216,29,99.992371,33.341624,7.7412
216,38,99.995422,33.323281,7.7568
216,48,99.993896,33.180314,7.7600
216,57,99.990845,33.420735,7.7205
216,66,99.998474,33.356516,7.7563
216,76,99.996948,33.292170,7.7658
216,85,99.996948,33.256370,7.7584
216,94,99.996948,33.320157,7.7540
216,104,99.995422,33.414042,7.7540
216,113,99.995422,33.259330,7.7634
216,123,99.992371,33.374520,7.7466
216,132,99.996948,33.350120,7.7538
216,141,99.993896,33.239299,7.7460
216,151,99.992371,33.397151,7.7390
216,160,99.996948,33.195770,7.7602
216,169,99.987793,33.373442,7.7441
216,179,99.992371,33.109086,7.7694
216,188,99.993896,33.387469,7.7432
216,197,99.993896,33.277014,7.7435
216,207,99.993896,33.473671,7.7448
216,216,99.993896,33.323348,7.7388
240,1,99.992371,33.150741,7.7738
240,11,99.993896,33.280631,7.7657
240,22,99.993896,33.189081,7.7542
240,32,99.993896,33.267462,7.7460
240,43,99.989319,33.246313,7.7580
240,53,99.984741,33.327786,7.7584
240,63,99.990845,33.461285,7.7433
240,74,99.996948,33.284362,7.7494
240,84,99.996948,33.375612,7.7300
240,95,99.989319,33.334337,7.7444
240,105,99.995422,33.321864,7.7491
240,115,99.995422,33.370256,7.7567
240,126,99.993896,33.273744,7.7519
240,136,99.995422,33.276728,7.7572
240,146,99.995422,33.143346,7.7580
240,157,99.990845,33.275133,7.7525
240,167,99.990845,33.173129,7.7660
240,178,99.995422,33.183688,7.7491
240,188,99.993896,33.388609,7.7522
240,198,99.993896,33.289574,7.7588
240,209,99.989319,33.146246,7.7615
240,219,99.992371,33.396631,7.7346
240,230,99.993896,33.317576,7.7474
240,240,99.993896,33.227381,7.7694
264,1,99.992371,33.187206,7.7658
264,12,99.992371,33.407954,7.7406
264,24,99.992371,33.288665,7.7588
264,35,99.989319,33.230795,7.7594
264,47,99.989319,33.185283,7.7600
264,58,99.992371,33.363981,7.7381
264,70,99.995422,33.290413,7.7414
264,81,99.989319,33.315720,7.7604
264,92,99.996948,33.517376,7.7332
264,104,99.995422,33.291581,7.7516
264,115,99.990845,33.291313,7.7623
264,127,99.993896,33.260387,7.7595
264,138,99.993896,33.395795,7.7425
264,150,99.995422,33.279837,7.7671
264,161,99.995422,33.278256,7.7456
264,173,99.990845,33.365001,7.7465
264,184,99.996948,33.289440,7.7643
264,195,99.989319,33.254918,7.7656
264,207,99.986267,33.234689,7.7640
264,218,99.993896,33.367605,7.7401
264,230,99.992371,33.312532,7.7561
264,241,99.990845,33.455078,7.7551
264,253,99.992371,33.333486,7.7346
264,264,99.992371,33.207961,7.7694
288,1,99.990845,33.401085,7.7508
288,13,99.990845,33.277094,7.7604
288,26,99.992371,33.290885,7.7721
288,38,99.992371,33.352814,7.7438
288,51,99.986267,33.338698,7.7510
