image,K,num_pixels,mean_chi2_plain,mean_chi2_cipher,chi2_critical_005,cipher_uniform_pass
2.2.04,120,1048576,3690644.5820,287.9378,293.2465,1
2.2.05,120,1048576,1298775.5493,272.2293,293.2465,1
2.2.06,120,1048576,7396619.0374,289.2389,293.2465,1
2.2.07,120,1048576,4860051.3880,252.3649,293.2465,1
2.2.08,120,1048576,1082751.9800,253.1071,293.2465,1
2.2.09,120,1048576,6732990.8791,240.8420,293.2465,1
2.2.10,120,1048576,7587851.9578,256.1418,293.2465,1
2.2.11,120,1048576,4219744.8717,248.4162,293.2465,1
2.2.12,120,1048576,4033947.6772,256.8942,293.2465,1
2.2.13,120,1048576,2556570.1512,239.6870,293.2465,1
2.2.14,120,1048576,2863126.6483,241.3890,293.2465,1
2.2.15,120,1048576,5841825.9139,270.2090,293.2465,1
2.2.16,120,1048576,3088125.5768,246.9712,293.2465,1
2.2.17,120,1048576,2111634.7624,251.3937,293.2465,1
2.2.18,120,1048576,3315796.2762,249.5988,293.2465,1
2.2.19,120,1048576,4653792.5623,249.9883,293.2465,1
2.2.20,120,1048576,3223388.8162,235.7655,293.2465,1
2.2.21,120,1048576,3338600.8636,257.8361,293.2465,1
2.2.22,120,1048576,6022088.4924,268.0457,293.2465,1
2.2.23,120,1048576,11172208.3312,259.2170,293.2465,1
2.2.24,120,1048576,2781243.8275,242.2134,293.2465,1
wash-ir,120,5062500,5355559.2556,249.2551,293.2465,1
4.1.01,144,65536,161648.1927,247.9635,293.2465,1
4.1.02,144,65536,279285.9792,263.9401,293.2465,1
4.1.03,144,65536,757390.6979,272.9792,293.2465,1
4.1.04,144,65536,81482.5964,267.6380,293.2465,1
4.1.05,144,65536,317258.1536,244.1510,293.2465,1
4.1.06,144,65536,89401.5182,275.2448,293.2465,1
4.1.07,144,65536,486579.0911,266.4375,293.2465,1
4.1.08,144,65536,338837.9115,247.3698,293.2465,1
4.2.01,144,262144,951959.3021,259.1243,293.2465,1
4.2.03,144,262144,101863.4616,257.6777,293.2465,1
4.2.05,144,262144,822925.9603,251.7266,293.2465,1
4.2.06,144,262144,223807.8535,256.4349,293.2465,1
4.2.07,144,262144,340999.4414,243.0143,293.2465,1
house,144,262144,257525.5384,213.7376,293.2465,1
2.1.01,144,262144,305263.2174,221.5716,293.2465,1
2.1.02,144,262144,285237.8646,263.2279,293.2465,1
2.1.03,144,262144,2147568.3815,242.7227,293.2465,1
2.1.04,144,262144,878469.8587,254.6849,293.2465,1
2.1.05,144,262144,265542.1608,252.1139,293.2465,1
2.1.06,144,262144,181814.6641,281.8366,293.2465,1
2.1.07,144,262144,1506062.4518,257.8132,293.2465,1
2.1.08,144,262144,1304657.1211,245.3984,293.2465,1
2.1.09,144,262144,1534474.9251,252.6582,293.2465,1
2.1.10,144,262144,842741.8743,278.0866,293.2465,1
2.1.11,144,262144,382965.7695,251.1139,293.2465,1
2.1.12,144,262144,1041168.6172,231.2240,293.2465,1
2.2.01,144,1048576,1606924.9424,240.2791,293.2465,1
2.2.02,144,1048576,7994223.7020,261.0752,293.2465,1
2.2.03,144,1048576,6187844.7371,252.3791,293.2465,1
2.2.04,144,1048576,3690644.5820,255.1434,293.2465,1
2.2.05,144,1048576,1298775.5493,255.0768,293.2465,1
2.2.06,144,1048576,7396619.0374,267.7121,293.2465,1
2.2.07,144,1048576,4860051.3880,266.2331,293.2465,1
2.2.08,144,1048576,1082751.9800,254.7160,293.2465,1
2.2.09,144,1048576,6732990.8791,246.8608,293.2465,1
2.2.10,144,1048576,7587851.9578,266.1320,293.2465,1
2.2.11,144,1048576,4219744.8717,264.8146,293.2465,1
2.2.12,144,1048576,4033947.6772,230.4992,293.2465,1
2.2.13,144,1048576,2556570.1512,235.6849,293.2465,1
2.2.14,144,1048576,2863126.6483,248.6836,293.2465,1
2.2.15,144,1048576,5841825.9139,227.6367,293.2465,1
2.2.16,144,1048576,3088125.5768,244.7902,293.2465,1
2.2.17,144,1048576,2111634.7624,252.0667,293.2465,1
2.2.18,144,1048576,3315796.2762,283.2454,293.2465,1
2.2.19,144,1048576,4653792.5623,240.8224,293.2465,1
2.2.20,144,1048576,3223388.8162,247.9499,293.2465,1
2.2.21,144,1048576,3338600.8636,259.0851,293.2465,1
2.2.22,144,1048576,6022088.4924,250.9824,293.2465,1
2.2.23,144,1048576,11172208.3312,242.3000,293.2465,1
2.2.24,144,1048576,2781243.8275,237.3612,293.2465,1
wash-ir,144,5062500,5355559.2556,254.5649,293.2465,1
4.1.01,168,65536,161648.1927,260.1484,293.2465,1
4.1.02,168,65536,279285.9792,250.5677,293.2465,1
4.1.03,168,65536,757390.6979,257.8229,293.2465,1
4.1.04,168,65536,81482.5964,234.8125,293.2465,1
4.1.05,168,65536,317258.1536,252.7891,293.2465,1
4.1.06,168,65536,89401.5182,259.6224,293.2465,1
4.1.07,168,65536,486579.0911,257.0677,293.2465,1
4.1.08,168,65536,338837.9115,247.9036,293.2465,1
4.2.01,168,262144,951959.3021,263.2559,293.2465,1
4.2.03,168,262144,101863.4616,259.6947,293.2465,1
4.2.05,168,262144,822925.9603,267.7917,293.2465,1
4.2.06,168,262144,223807.8535,270.7103,293.2465,1
4.2.07,168,262144,340999.4414,272.0964,293.2465,1
house,168,262144,257525.5384,254.8822,293.2465,1
2.1.01,168,262144,305263.2174,245.5983,293.2465,1
2.1.02,168,262144,285237.8646,245.0104,293.2465,1
2.1.03,168,262144,2147568.3815,233.0879,293.2465,1
2.1.04,168,262144,878469.8587,254.7266,293.2465,1
2.1.05,168,262144,265542.1608,257.7012,293.2465,1
2.1.06,168,262144,181814.6641,262.2819,293.2465,1
2.1.07,168,262144,1506062.4518,232.6354,293.2465,1
2.1.08,168,262144,1304657.1211,257.4863,293.2465,1
2.1.09,168,262144,1534474.9251,254.3203,293.2465,1
2.1.10,168,262144,842741.8743,252.2904,293.2465,1
2.1.11,168,262144,382965.7695,243.0397,293.2465,1
2.1.12,168,262144,1041168.6172,253.0319,293.2465,1
2.2.01,168,1048576,1606924.9424,270.1328,293.2465,1
2.2.02,168,1048576,7994223.7020,260.5837,293.2465,1
2.2.03,168,1048576,6187844.7371,238.0054,293.2465,1
2.2.04,168,1048576,3690644.5820,250.1810,293.2465,1
2.2.05,168,1048576,1298775.5493,262.8464,293.2465,1
2.2.06,168,1048576,7396619.0374,250.3271,293.2465,1
2.2.07,168,1048576,4860051.3880,239.1193,293.2465,1
2.2.08,168,1048576,1082751.9800,266.5249,293.2465,1
2.2.09,168,1048576,6732990.8791,245.5075,293.2465,1
2.2.10,168,1048576,7587851.9578,251.1240,293.2465,1
2.2.11,168,1048576,4219744.8717,270.4202,293.2465,1
2.2.12,168,1048576,4033947.6772,258.5213,293.2465,1
2.2.13,168,1048576,2556570.1512,230.4329,293.2465,1
2.2.14,168,1048576,2863126.6483,246.7534,293.2465,1
2.2.15,168,1048576,5841825.9139,262.1481,293.2465,1
2.2.16,168,1048576,3088125.5768,234.4085,293.2465,1
2.2.17,168,1048576,2111634.7624,258.5833,293.2465,1
2.2.18,168,1048576,3315796.2762,247.2075,293.2465,1
2.2.19,168,1048576,4653792.5623,265.9886,293.2465,1
2.2.20,168,1048576,3223388.8162,247.9557,293.2465,1
2.2.21,168,1048576,3338600.8636,259.7482,293.2465,1
2.2.22,168,1048576,6022088.4924,237.2829,293.2465,1
2.2.23,168,1048576,11172208.3312,234.9054,293.2465,1
2.2.24,168,1048576,2781243.8275,260.2070,293.2465,1
wash-ir,168,5062500,5355559.2556,243.0237,293.2465,1
4.1.01,192,65536,161648.1927,268.8047,293.2465,1
4.1.02,192,65536,279285.9792,266.0911,293.2465,1
4.1.03,192,65536,757390.6979,255.9271,293.2465,1
4.1.04,192,65536,81482.5964,258.4193,293.2465,1
4.1.05,192,65536,317258.1536,263.9792,293.2465,1
4.1.06,192,65536,89401.5182,263.3932,293.2465,1
4.1.07,192,65536,486579.0911,248.1875,293.2465,1
4.1.08,192,65536,338837.9115,249.0521,293.2465,1
4.2.01,192,262144,951959.3021,249.2637,293.2465,1
4.2.03,192,262144,101863.4616,250.2396,293.2465,1
4.2.05,192,262144,822925.9603,236.9505,293.2465,1
4.2.06,192,262144,223807.8535,248.3841,293.2465,1
4.2.07,192,262144,340999.4414,262.0807,293.2465,1
house,192,262144,257525.5384,255.9844,293.2465,1
2.1.01,192,262144,305263.2174,259.0514,293.2465,1
2.1.02,192,262144,285237.8646,245.8984,293.2465,1
2.1.03,192,262144,2147568.3815,271.6419,293.2465,1
2.1.04,192,262144,878469.8587,226.3210,293.2465,1
2.1.05,192,262144,265542.1608,247.3984,293.2465,1
2.1.06,192,262144,181814.6641,252.6289,293.2465,1
2.1.07,192,262144,1506062.4518,255.4941,293.2465,1
2.1.08,192,262144,1304657.1211,290.4076,293.2465,1
2.1.09,192,262144,1534474.9251,250.0033,293.2465,1
2.1.10,192,262144,842741.8743,254.5208,293.2465,1
2.1.11,192,262144,382965.7695,244.6628,293.2465,1
2.1.12,192,262144,1041168.6172,260.3073,293.2465,1
2.2.01,192,1048576,1606924.9424,252.7866,293.2465,1
2.2.02,192,1048576,7994223.7020,259.8981,293.2465,1
2.2.03,192,1048576,6187844.7371,247.2826,293.2465,1
2.2.04,192,1048576,3690644.5820,236.2925,293.2465,1
2.2.05,192,1048576,1298775.5493,260.7866,293.2465,1
2.2.06,192,1048576,7396619.0374,266.4455,293.2465,1
2.2.07,192,1048576,4860051.3880,257.6476,293.2465,1
2.2.08,192,1048576,1082751.9800,246.5309,293.2465,1
2.2.09,192,1048576,6732990.8791,245.7845,293.2465,1
2.2.10,192,1048576,7587851.9578,232.9575,293.2465,1
2.2.11,192,1048576,4219744.8717,242.9217,293.2465,1
2.2.12,192,1048576,4033947.6772,268.1733,293.2465,1
2.2.13,192,1048576,2556570.1512,266.1196,293.2465,1
2.2.14,192,1048576,2863126.6483,244.5278,293.2465,1
2.2.15,192,1048576,5841825.9139,242.2897,293.2465,1
2.2.16,192,1048576,3088125.5768,251.7808,293.2465,1
2.2.17,192,1048576,2111634.7624,248.3654,293.2465,1
2.2.18,192,1048576,3315796.2762,250.2443,293.2465,1
2.2.19,192,1048576,4653792.5623,265.4451,293.2465,1
2.2.20,192,1048576,3223388.8162,237.5298,293.2465,1
2.2.21,192,1048576,3338600.8636,241.7401,293.2465,1
2.2.22,192,1048576,6022088.4924,254.6090,293.2465,1
2.2.23,192,1048576,11172208.3312,260.1572,293.2465,1
2.2.24,192,1048576,2781243.8275,281.9735,293.2465,1
wash-ir,192,5062500,5355559.2556,266.1330,293.2465,1
4.1.01,216,65536,161648.1927,252.2708,293.2465,1
4.1.02,216,65536,279285.9792,252.1719,293.2465,1
4.1.03,216,65536,757390.6979,262.2370,293.2465,1
4.1.04,216,65536,81482.5964,246.3151,293.2465,1
4.1.05,216,65536,317258.1536,261.7214,293.2465,1
4.1.06,216,65536,89401.5182,273.1198,293.2465,1
4.1.07,216,65536,486579.0911,251.7109,293.2465,1
4.1.08,216,65536,338837.9115,256.5807,293.2465,1
4.2.01,216,262144,951959.3021,262.3490,293.2465,1
4.2.03,216,262144,101863.4616,232.8444,293.2465,1
4.2.05,216,262144,822925.9603,247.8730,293.2465,1
4.2.06,216,262144,223807.8535,257.4284,293.2465,1
4.2.07,216,262144,340999.4414,262.1217,293.2465,1
house,216,262144,257525.5384,270.3542,293.2465,1
2.1.01,216,262144,305263.2174,247.4889,293.2465,1
2.1.02,216,262144,285237.8646,255.6882,293.2465,1
2.1.03,216,262144,2147568.3815,245.9349,293.2465,1
2.1.04,216,262144,878469.8587,271.3431,293.2465,1
2.1.05,216,262144,265542.1608,259.9902,293.2465,1
2.1.06,216,262144,181814.6641,255.4212,293.2465,1
2.1.07,216,262144,1506062.4518,246.8522,293.2465,1
2.1.08,216,262144,1304657.1211,249.1523,293.2465,1
2.1.09,216,262144,1534474.9251,263.8053,293.2465,1
2.1.10,216,262144,842741.8743,269.8600,293.2465,1
2.1.11,216,262144,382965.7695,242.3893,293.2465,1
2.1.12,216,262144,1041168.6172,271.0156,293.2465,1
2.2.01,216,1048576,1606924.9424,226.7640,293.2465,1
2.2.02,216,1048576,7994223.7020,280.5415,293.2465,1
2.2.03,216,1048576,6187844.7371,234.6252,293.2465,1
2.2.04,216,1048576,3690644.5820,251.4455,293.2465,1
2.2.05,216,1048576,1298775.5493,263.5701,293.2465,1
2.2.06,216,1048576,7396619.0374,258.1846,293.2465,1
2.2.07,216,1048576,4860051.3880,261.1439,293.2465,1
2.2.08,216,1048576,1082751.9800,252.8368,293.2465,1
2.2.09,216,1048576,6732990.8791,286.3081,293.2465,1
2.2.10,216,1048576,7587851.9578,271.6357,293.2465,1
2.2.11,216,1048576,4219744.8717,262.7689,293.2465,1
2.2.12,216,1048576,4033947.6772,260.1271,293.2465,1
2.2.13,216,1048576,2556570.1512,239.1113,293.2465,1
2.2.14,216,1048576,2863126.6483,262.5063,293.2465,1
2.2.15,216,1048576,5841825.9139,246.3683,293.2465,1
2.2.16,216,1048576,3088125.5768,275.1133,293.2465,1
2.2.17,216,1048576,2111634.7624,259.2131,293.2465,1
2.2.18,216,1048576,3315796.2762,251.1038,293.2465,1
2.2.19,216,1048576,4653792.5623,265.1686,293.2465,1
2.2.20,216,1048576,3223388.8162,244.9928,293.2465,1
2.2.21,216,1048576,3338600.8636,252.8449,293.2465,1
2.2.22,216,1048576,6022088.4924,254.7534,293.2465,1
