image,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
2.2.17,96,1048576,9.3515,9.3551,Inf
2.2.18,96,1048576,9.1827,9.1894,Inf
2.2.19,96,1048576,9.0195,9.0208,Inf
2.2.20,96,1048576,9.3547,9.3559,Inf
2.2.21,96,1048576,8.6051,8.6032,Inf
2.2.22,96,1048576,8.6592,8.6597,Inf
2.2.23,96,1048576,8.7475,8.7493,Inf
2.2.24,96,1048576,9.2770,9.2743,Inf
wash-ir,96,5062500,8.5170,8.5176,Inf
4.1.01,120,65536,7.2827,7.2864,Inf
4.1.02,120,65536,6.2486,6.2452,Inf
4.1.03,120,65536,9.9392,9.9476,Inf
4.1.04,120,65536,8.8314,8.8523,Inf
4.1.05,120,65536,8.9057,8.9100,Inf
4.1.06,120,65536,8.1574,8.1828,Inf
4.1.07,120,65536,8.5910,8.5889,Inf
4.1.08,120,65536,8.6339,8.6476,Inf
4.2.01,120,262144,7.6261,7.6245,Inf
4.2.03,120,262144,8.7750,8.7760,Inf
4.2.05,120,262144,7.9752,7.9757,Inf
4.2.06,120,262144,8.0705,8.0809,Inf
4.2.07,120,262144,8.0756,8.0725,Inf
house,120,262144,8.4764,8.4689,Inf
2.1.01,120,262144,9.4104,9.4135,Inf
2.1.02,120,262144,8.8545,8.8381,Inf
2.1.03,120,262144,8.3582,8.3560,Inf
2.1.04,120,262144,9.3769,9.3744,Inf
2.1.05,120,262144,8.9736,8.9785,Inf
2.1.06,120,262144,9.2226,9.2260,Inf
2.1.07,120,262144,8.7764,8.7687,Inf
2.1.08,120,262144,8.4175,8.4138,Inf
2.1.09,120,262144,8.6780,8.6857,Inf
2.1.10,120,262144,8.6369,8.6489,Inf
2.1.11,120,262144,9.3568,9.3577,Inf
2.1.12,120,262144,8.4430,8.4467,Inf
2.2.01,120,1048576,8.4861,8.4861,Inf
2.2.02,120,1048576,8.7121,8.7103,Inf
2.2.03,120,1048576,8.3714,8.3722,Inf
2.2.04,120,1048576,8.5848,8.5825,Inf
2.2.05,120,1048576,9.4144,9.4154,Inf
2.2.06,120,1048576,8.7872,8.7882,Inf
2.2.07,120,1048576,8.5003,8.4927,Inf
2.2.08,120,1048576,8.5445,8.5458,Inf
2.2.09,120,1048576,8.7115,8.7098,Inf
2.2.10,120,1048576,8.7158,8.7078,Inf
2.2.11,120,1048576,9.1554,9.1592,Inf
2.2.12,120,1048576,9.4411,9.4390,Inf
2.2.13,120,1048576,9.2061,9.2098,Inf
2.2.14,120,1048576,9.5484,9.5443,Inf
2.2.15,120,1048576,9.2693,9.2710,Inf
2.2.16,120,1048576,9.6081,9.6063,Inf
2.2.17,120,1048576,9.3510,9.3551,Inf
2.2.18,120,1048576,9.1875,9.1823,Inf
2.2.19,120,1048576,9.0213,9.0167,Inf
2.2.20,120,1048576,9.3547,9.3537,Inf
2.2.21,120,1048576,8.6013,8.6011,Inf
2.2.22,120,1048576,8.6528,8.6564,Inf
2.2.23,120,1048576,8.7484,8.7460,Inf
2.2.24,120,1048576,9.2756,9.2765,Inf
