K,flipped_key_bit,npcr_key_packed,uaci_key_packed,psnr_cipher_pair_db
216,1,100.000000,33.199439,7.7511
216,21,100.000000,33.126296,7.7493
216,40,100.000000,33.412319,7.7371
216,60,100.000000,33.408318,7.7480
216,79,100.000000,33.351185,7.7391
216,99,100.000000,33.416348,7.7490
216,118,100.000000,33.195293,7.7604
216,138,100.000000,33.330342,7.7514
216,157,100.000000,33.155250,7.7521
216,177,100.000000,33.323070,7.7288
216,196,100.000000,33.351195,7.7434
216,216,100.000000,33.304411,7.7482
240,1,99.995422,33.457616,7.7547
240,23,100.000000,33.493685,7.7375
240,44,100.000000,33.172874,7.7542
240,66,100.000000,33.179159,7.7762
240,88,100.000000,33.414970,7.7428
240,110,100.000000,33.265786,7.7465
240,131,100.000000,33.427322,7.7381
240,153,100.000000,33.289047,7.7565
240,175,100.000000,33.394838,7.7439
240,197,100.000000,33.332645,7.7357
240,218,100.000000,33.450398,7.7477
240,240,100.000000,33.363272,7.7737
264,1,100.000000,33.335611,7.7474
264,25,99.998474,33.391276,7.7342
264,49,100.000000,33.352106,7.7434
264,73,100.000000,33.381416,7.7311
264,97,100.000000,33.122315,7.7550
264,121,100.000000,33.324339,7.7293
264,144,100.000000,33.337498,7.7414
264,168,100.000000,33.265683,7.7482
264,192,100.000000,33.328547,7.7313
264,216,100.000000,33.319033,7.7501
264,240,100.000000,33.450068,7.7615
264,264,100.000000,33.419517,7.7325
288,1,99.992371,33.551269,7.7246
288,27,100.000000,33.365745,7.7507
288,53,100.000000,33.370064,7.7467
288,79,100.000000,33.321480,7.7442
288,105,100.000000,33.347367,7.7532
288,131,100.000000,33.481515,7.7330
288,158,100.000000,33.270473,7.7607
288,184,100.000000,33.234998,7.7505
288,210,100.000000,33.422048,7.7423
288,236,100.000000,33.484030,7.7360
288,262,100.000000,33.372276,7.7568
288,288,100.000000,33.272610,7.7561
312,1,100.000000,33.170076,7.7677
312,29,100.000000,33.368070,7.7608
312,58,100.000000,33.414015,7.7490
312,86,100.000000,33.273934,7.7511
312,114,100.000000,33.230509,7.7470
312,142,100.000000,33.110098,7.7707
312,171,100.000000,33.378332,7.7486
312,199,100.000000,33.337714,7.7495
312,227,100.000000,33.330037,7.7470
312,255,100.000000,33.307245,7.7617
312,284,100.000000,33.237097,7.7474
312,312,100.000000,33.188586,7.7613
336,1,99.995422,33.325794,7.7376
336,31,100.000000,33.225025,7.7533
336,62,100.000000,33.404135,7.7425
336,92,100.000000,33.312321,7.7422
336,123,100.000000,33.346762,7.7543
336,153,100.000000,33.395588,7.7504
336,184,100.000000,33.395541,7.7317
336,214,100.000000,33.169451,7.7556
336,245,100.000000,33.337868,7.7429
336,275,100.000000,33.543779,7.7317
336,306,100.000000,33.209403,7.7486
336,336,100.000000,33.419921,7.7437
360,1,100.000000,33.465873,7.7330
360,34,100.000000,33.284857,7.7448
360,66,100.000000,33.352924,7.7427
360,99,100.000000,33.363594,7.7584
360,132,100.000000,33.384853,7.7435
360,164,100.000000,33.204444,7.7563
360,197,100.000000,33.320002,7.7440
360,229,100.000000,33.345098,7.7252
360,262,100.000000,33.398801,7.7276
360,295,100.000000,33.250763,7.7467
360,327,100.000000,33.412980,7.7326
360,360,100.000000,33.214950,7.7634
384,1,99.989319,33.557122,7.7405
384,36,100.000000,33.369376,7.7587
384,71,100.000000,33.336163,7.7389
384,105,100.000000,33.415419,7.7350
384,140,100.000000,33.257593,7.7386
384,175,100.000000,33.478352,7.7467
384,210,100.000000,33.386847,7.7532
384,245,100.000000,33.394330,7.7467
384,280,100.000000,33.254386,7.7499
384,314,100.000000,33.364582,7.7548
384,349,100.000000,33.438429,7.7674
384,384,100.000000,33.337311,7.7458
